No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,day_of_week,season,PM25_Category
1,2013,3,1,0,4.0,4.0,3.0,19.0,200.0,82.0,-2.3,1020.8,-19.7,0.0,E,0.5,Dingling,2013-03-01 00:00:00,4,Spring,Good
2,2013,3,1,1,7.0,7.0,3.0,19.0,200.0,80.0,-2.5,1021.3,-19.0,0.0,ENE,0.7,Dingling,2013-03-01 01:00:00,4,Spring,Good
3,2013,3,1,2,5.0,5.0,3.0,2.0,200.0,79.0,-3.0,1021.3,-19.9,0.0,ENE,0.2,Dingling,2013-03-01 02:00:00,4,Spring,Good
4,2013,3,1,3,6.0,6.0,3.0,2.6666666666666665,200.0,79.0,-3.6,1021.8,-19.1,0.0,NNE,1.0,Dingling,2013-03-01 03:00:00,4,Spring,Good
5,2013,3,1,4,5.0,5.0,3.0,3.333333333333333,200.0,81.0,-3.5,1022.3,-19.4,0.0,N,2.1,Dingling,2013-03-01 04:00:00,4,Spring,Good
6,2013,3,1,5,6.0,6.0,3.0,4.0,200.0,79.0,-4.5,1022.6,-19.5,0.0,NNW,1.7,Dingling,2013-03-01 05:00:00,4,Spring,Good
7,2013,3,1,6,5.0,10.0,3.0,4.0,200.0,77.0,-4.5,1023.4,-19.5,0.0,NNW,1.8,Dingling,2013-03-01 06:00:00,4,Spring,Good
8,2013,3,1,7,5.0,6.0,3.0,2.0,200.0,80.0,-2.1,1024.6,-20.0,0.0,NW,2.5,Dingling,2013-03-01 07:00:00,4,Spring,Good
9,2013,3,1,8,8.0,7.0,3.0,3.0,200.0,79.0,-0.2,1025.2,-20.5,0.0,NNW,2.8,Dingling,2013-03-01 08:00:00,4,Spring,Good
10,2013,3,1,9,8.0,8.0,3.0,2.0,200.0,81.0,0.6,1025.3,-20.4,0.0,NNW,3.8,Dingling,2013-03-01 09:00:00,4,Spring,Good
11,2013,3,1,10,8.0,5.0,3.0,2.0,200.0,83.0,2.0,1025.1,-21.3,0.0,N,2.2,Dingling,2013-03-01 10:00:00,4,Spring,Good
12,2013,3,1,11,3.0,2.0,3.0,2.0,200.0,83.0,3.6,1024.8,-20.7,0.0,NNE,2.7,Dingling,2013-03-01 11:00:00,4,Spring,Good
13,2013,3,1,12,6.0,4.5,3.0,2.0,200.0,85.0,4.8,1023.8,-19.7,0.0,N,3.0,Dingling,2013-03-01 12:00:00,4,Spring,Good
14,2013,3,1,13,7.0,7.0,3.0,2.0,200.0,84.0,5.8,1022.8,-20.6,0.0,NE,4.4,Dingling,2013-03-01 13:00:00,4,Spring,Good
15,2013,3,1,14,6.0,7.0,3.0,2.0,200.0,89.0,5.9,1022.6,-20.5,0.0,N,3.6,Dingling,2013-03-01 14:00:00,4,Spring,Good
16,2013,3,1,15,10.0,10.0,3.0,2.0,200.0,88.0,6.0,1022.6,-20.4,0.0,N,3.2,Dingling,2013-03-01 15:00:00,4,Spring,Good
17,2013,3,1,16,3.0,6.0,3.0,2.0,200.0,87.0,5.4,1022.8,-20.0,0.0,NE,2.2,Dingling,2013-03-01 16:00:00,4,Spring,Good
18,2013,3,1,17,5.0,5.0,3.0,2.0,200.0,87.0,3.5,1023.4,-20.8,0.0,ENE,2.0,Dingling,2013-03-01 17:00:00,4,Spring,Good
19,2013,3,1,18,5.0,6.0,3.0,2.0,200.0,85.0,2.7,1024.2,-20.0,0.0,NE,3.6,Dingling,2013-03-01 18:00:00,4,Spring,Good
20,2013,3,1,19,14.0,6.0,3.0,2.0,200.0,83.0,2.0,1025.1,-19.3,0.0,ENE,1.7,Dingling,2013-03-01 19:00:00,4,Spring,Good
21,2013,3,1,20,6.0,7.0,3.0,2.0,200.0,83.0,1.1,1025.9,-18.3,0.0,NE,1.7,Dingling,2013-03-01 20:00:00,4,Spring,Good
22,2013,3,1,21,9.0,7.0,3.0,2.0,200.0,82.0,1.6,1026.7,-17.4,0.0,E,2.3,Dingling,2013-03-01 21:00:00,4,Spring,Good
23,2013,3,1,22,6.0,5.0,3.0,2.0,200.0,79.0,0.4,1027.2,-17.4,0.0,E,0.0,Dingling,2013-03-01 22:00:00,4,Spring,Good
24,2013,3,1,23,6.0,9.0,3.0,2.0,300.0,72.0,0.3,1027.0,-16.6,0.0,NE,1.5,Dingling,2013-03-01 23:00:00,4,Spring,Good
25,2013,3,2,0,4.0,7.0,3.0,2.0,200.0,74.0,-0.5,1027.4,-16.4,0.0,SW,3.0,Dingling,2013-03-02 00:00:00,5,Spring,Good
26,2013,3,2,1,6.0,6.0,3.0,2.0,200.0,75.0,-1.8,1027.9,-16.7,0.0,SSW,0.9,Dingling,2013-03-02 01:00:00,5,Spring,Good
27,2013,3,2,2,7.0,2.0,13.0,39.0,800.0,36.0,-1.7,1027.7,-17.4,0.0,SSW,1.5,Dingling,2013-03-02 02:00:00,5,Spring,Good
28,2013,3,2,3,28.0,47.0,21.0,71.0,1200.0,6.0,-2.5,1027.7,-17.4,0.0,SW,1.7,Dingling,2013-03-02 03:00:00,5,Spring,Good
29,2013,3,2,4,31.0,65.0,25.0,71.0,1200.0,5.0,-3.4,1027.5,-17.0,0.0,NW,0.8,Dingling,2013-03-02 04:00:00,5,Spring,Good
30,2013,3,2,5,39.0,55.0,22.0,70.0,1200.0,2.0,-3.5,1026.9,-16.8,0.0,N,0.5,Dingling,2013-03-02 05:00:00,5,Spring,Moderate
31,2013,3,2,6,41.0,45.0,16.0,65.0,1000.0,4.0,-3.5,1026.1,-15.8,0.0,NNE,0.9,Dingling,2013-03-02 06:00:00,5,Spring,Moderate
32,2013,3,2,7,52.0,32.0,13.0,56.0,800.0,8.0,-3.3,1026.7,-14.4,0.0,NNW,0.9,Dingling,2013-03-02 07:00:00,5,Spring,Moderate
33,2013,3,2,8,36.0,18.0,16.0,52.0,900.0,12.0,-2.0,1026.4,-15.1,0.0,NNE,1.0,Dingling,2013-03-02 08:00:00,5,Spring,Moderate
34,2013,3,2,9,27.0,41.0,18.0,43.0,900.0,20.0,-0.2,1026.3,-16.6,0.0,WSW,0.5,Dingling,2013-03-02 09:00:00,5,Spring,Good
35,2013,3,2,10,29.0,38.0,20.0,35.0,600.0,42.0,0.6,1025.8,-17.2,0.0,SW,1.3,Dingling,2013-03-02 10:00:00,5,Spring,Good
36,2013,3,2,11,19.0,12.0,22.0,38.0,600.0,43.0,1.3,1025.4,-17.1,0.0,ESE,1.1,Dingling,2013-03-02 11:00:00,5,Spring,Good
37,2013,3,2,12,28.0,32.0,32.0,56.0,700.0,32.0,1.9,1024.2,-17.1,0.0,WSW,1.6,Dingling,2013-03-02 12:00:00,5,Spring,Good
38,2013,3,2,13,30.0,41.0,27.0,42.0,600.0,45.0,2.3,1022.6,-17.3,0.0,SE,0.2,Dingling,2013-03-02 13:00:00,5,Spring,Good
39,2013,3,2,14,26.0,29.0,30.0,48.0,700.0,43.0,3.0,1021.9,-17.3,0.0,S,0.0,Dingling,2013-03-02 14:00:00,5,Spring,Good
40,2013,3,2,15,32.0,36.0,37.0,56.0,800.0,39.0,2.9,1020.9,-16.8,0.0,WSW,1.2,Dingling,2013-03-02 15:00:00,5,Spring,Good
41,2013,3,2,16,39.0,44.0,42.0,64.0,900.0,33.0,2.5,1020.6,-17.1,0.0,WNW,0.5,Dingling,2013-03-02 16:00:00,5,Spring,Moderate
42,2013,3,2,17,43.0,54.0,44.0,70.0,900.0,27.0,2.1,1020.2,-16.4,0.0,E,0.7,Dingling,2013-03-02 17:00:00,5,Spring,Moderate
43,2013,3,2,18,48.0,60.0,45.0,80.0,1000.0,19.0,1.5,1020.4,-16.0,0.0,NE,0.7,Dingling,2013-03-02 18:00:00,5,Spring,Moderate
44,2013,3,2,19,46.0,64.0,36.0,80.0,1000.0,11.0,0.3,1020.0,-15.3,0.0,NE,0.6,Dingling,2013-03-02 19:00:00,5,Spring,Moderate
45,2013,3,2,20,45.0,66.0,30.0,79.0,1200.0,6.0,0.0,1019.9,-15.2,0.0,NE,0.2,Dingling,2013-03-02 20:00:00,5,Spring,Moderate
46,2013,3,2,21,50.0,68.0,36.0,82.0,1200.0,4.0,-1.2,1019.7,-13.7,0.0,N,1.0,Dingling,2013-03-02 21:00:00,5,Spring,Moderate
47,2013,3,2,22,56.0,73.0,26.0,76.0,1200.0,4.0,-2.1,1019.1,-13.3,0.0,NNE,0.4,Dingling,2013-03-02 22:00:00,5,Spring,Moderate
48,2013,3,2,23,55.0,66.0,25.0,76.0,1200.0,3.0,-2.2,1018.2,-13.4,0.0,NNE,1.1,Dingling,2013-03-02 23:00:00,5,Spring,Moderate
49,2013,3,3,0,60.0,60.0,26.0,77.0,1200.0,2.0,-2.4,1017.4,-13.0,0.0,N,1.0,Dingling,2013-03-03 00:00:00,6,Spring,Moderate
50,2013,3,3,1,59.0,63.0,21.0,72.0,1100.0,2.0,-3.8,1016.5,-12.2,0.0,NNW,1.4,Dingling,2013-03-03 01:00:00,6,Spring,Moderate
51,2013,3,3,2,52.0,53.0,20.5,69.0,1300.0,3.0,-3.8,1015.1,-12.7,0.0,NNE,0.8,Dingling,2013-03-03 02:00:00,6,Spring,Moderate
52,2013,3,3,3,57.0,57.0,20.0,67.0,1150.0,45.0,-4.0,1014.1,-13.4,0.0,NE,0.7,Dingling,2013-03-03 03:00:00,6,Spring,Moderate
53,2013,3,3,4,53.0,48.0,19.0,66.5,1000.0,2.0,-4.8,1013.6,-13.2,0.0,NNE,0.2,Dingling,2013-03-03 04:00:00,6,Spring,Moderate
54,2013,3,3,5,48.0,55.0,19.0,66.0,1100.0,3.0,-5.6,1013.2,-13.0,0.0,ENE,0.5,Dingling,2013-03-03 05:00:00,6,Spring,Moderate
55,2013,3,3,6,53.0,55.0,19.0,69.0,1300.0,2.0,-5.7,1013.2,-13.1,0.0,NE,0.0,Dingling,2013-03-03 06:00:00,6,Spring,Moderate
56,2013,3,3,7,53.0,59.0,15.0,67.0,1000.0,2.0,-3.3,1013.5,-12.8,0.0,NE,0.8,Dingling,2013-03-03 07:00:00,6,Spring,Moderate
57,2013,3,3,8,50.0,56.0,22.0,62.0,1200.0,8.0,-0.3,1012.8,-11.4,0.0,NNW,0.5,Dingling,2013-03-03 08:00:00,6,Spring,Moderate
58,2013,3,3,9,60.0,78.0,33.0,60.0,1500.0,16.0,3.4,1012.5,-12.6,0.0,SSE,0.8,Dingling,2013-03-03 09:00:00,6,Spring,Moderate
59,2013,3,3,10,73.0,87.0,41.0,61.0,1200.0,24.0,6.5,1011.4,-12.2,0.0,SE,2.1,Dingling,2013-03-03 10:00:00,6,Spring,Moderate
60,2013,3,3,11,76.0,101.0,49.0,64.0,1200.0,27.0,9.0,1010.4,-11.6,0.0,ESE,1.4,Dingling,2013-03-03 11:00:00,6,Spring,Unhealthy
61,2013,3,3,12,75.0,102.0,64.0,75.0,1500.0,27.0,12.2,1009.1,-13.7,0.0,SE,1.8,Dingling,2013-03-03 12:00:00,6,Spring,Moderate
62,2013,3,3,13,92.0,147.0,51.0,58.0,1100.0,38.0,15.6,1007.5,-13.8,0.0,NW,5.4,Dingling,2013-03-03 13:00:00,6,Spring,Unhealthy
63,2013,3,3,14,79.0,147.0,23.0,27.0,600.0,65.0,16.6,1006.9,-14.1,0.0,NW,5.3,Dingling,2013-03-03 14:00:00,6,Spring,Unhealthy
64,2013,3,3,15,44.0,105.0,4.0,3.0,200.0,86.0,17.0,1006.8,-14.9,0.0,NW,2.3,Dingling,2013-03-03 15:00:00,6,Spring,Moderate
65,2013,3,3,16,14.0,43.0,3.0,2.75,200.0,88.0,16.1,1006.9,-14.4,0.0,ENE,0.7,Dingling,2013-03-03 16:00:00,6,Spring,Good
66,2013,3,3,17,5.0,29.0,3.0,2.5,200.0,87.0,13.9,1007.6,-14.1,0.0,SSE,0.6,Dingling,2013-03-03 17:00:00,6,Spring,Good
67,2013,3,3,18,3.0,32.0,3.0,2.25,200.0,84.0,12.4,1009.0,-14.4,0.0,E,0.8,Dingling,2013-03-03 18:00:00,6,Spring,Good
68,2013,3,3,19,11.0,46.0,3.0,2.0,200.0,83.0,8.9,1010.0,-13.5,0.0,NW,0.9,Dingling,2013-03-03 19:00:00,6,Spring,Good
69,2013,3,3,20,5.0,42.0,3.0,2.0,200.0,82.0,7.7,1010.1,-12.2,0.0,ENE,0.5,Dingling,2013-03-03 20:00:00,6,Spring,Good
70,2013,3,3,21,12.0,34.0,3.0,2.0,200.0,79.0,6.9,1010.6,-12.3,0.0,N,0.7,Dingling,2013-03-03 21:00:00,6,Spring,Good
71,2013,3,3,22,4.0,31.0,7.0,8.0,500.0,61.0,6.8,1011.2,-11.9,0.0,NE,1.5,Dingling,2013-03-03 22:00:00,6,Spring,Good
72,2013,3,3,23,14.0,38.0,4.0,4.0,300.0,68.0,8.6,1012.1,-11.4,0.0,NE,2.0,Dingling,2013-03-03 23:00:00,6,Spring,Good
73,2013,3,4,0,13.0,34.0,3.0,4.0,200.0,76.0,9.2,1013.2,-12.6,0.0,ENE,2.4,Dingling,2013-03-04 00:00:00,0,Spring,Good
74,2013,3,4,1,10.0,36.0,3.0,4.0,200.0,80.0,7.3,1014.2,-12.5,0.0,NE,2.1,Dingling,2013-03-04 01:00:00,0,Spring,Good
75,2013,3,4,2,8.0,28.0,3.0,4.0,200.0,81.0,6.1,1014.4,-13.5,0.0,NW,1.4,Dingling,2013-03-04 02:00:00,0,Spring,Good
76,2013,3,4,3,5.0,19.0,3.0,4.0,200.0,84.0,6.6,1014.2,-14.8,0.0,N,4.0,Dingling,2013-03-04 03:00:00,0,Spring,Good
77,2013,3,4,4,11.0,4.0,3.0,4.0,200.0,86.0,4.8,1014.6,-12.2,0.0,NW,2.6,Dingling,2013-03-04 04:00:00,0,Spring,Good
78,2013,3,4,5,5.0,3.5,3.0,4.0,200.0,87.0,5.4,1015.4,-12.1,0.0,NW,4.7,Dingling,2013-03-04 05:00:00,0,Spring,Good
79,2013,3,4,6,8.0,3.0,3.0,4.0,200.0,79.0,4.2,1016.1,-12.3,0.0,N,3.0,Dingling,2013-03-04 06:00:00,0,Spring,Good
80,2013,3,4,7,7.0,19.0,8.0,7.0,300.0,71.0,6.3,1016.8,-12.3,0.0,N,0.8,Dingling,2013-03-04 07:00:00,0,Spring,Good
81,2013,3,4,8,4.0,15.0,10.0,8.0,300.0,69.0,8.9,1017.4,-12.9,0.0,ENE,1.6,Dingling,2013-03-04 08:00:00,0,Spring,Good
