Feature,Importance
PM10,0.8014045899724956
CO,0.10008081536689405
DEWP,0.015687452815512832
SO2,0.012392149054028738
NO2,0.008808219448482455
TEMP,0.008229291760065096
PRES,0.007138012353875071
O3,0.006640872968367668
day,0.006512857357726418
month,0.006100894646571727
year,0.0054041521259126975
hour,0.004660504763844847
WSPM,0.004489784841524771
day_of_week,0.0036311150546824034
station_encoded,0.0035376962861326145
wd_encoded,0.002484955022489836
season_encoded,0.0023926557260775185
RAIN,0.0004039804353157789
